teamId,season,teamName,teamAbbreviation,conferenceAbbreviation,divisionName
674,2013,Carolina Hurricanes,CAR,E,Southeast
734,2013,Florida Panthers,FLA,E,Southeast
794,2013,Tampa Bay Lightning,TBL,E,Southeast
854,2013,Washington Capitals,WSH,E,Southeast
914,2013,Chicago Blackhawks,CHI,W,Central
974,2013,Detroit Red Wings,DET,W,Central
1034,2013,Nashville Predators,NSH,W,Central
1094,2013,St. Louis Blues,STL,W,Central
1154,2013,Calgary Flames,CGY,W,Northwest
1214,2013,Colorado Avalanche,COL,W,Northwest
1274,2013,Edmonton Oilers,EDM,W,Northwest
1334,2013,Vancouver Canucks,VAN,W,Northwest
1394,2013,Anaheim Ducks,ANA,W,Pacific
1454,2013,Dallas Stars,DAL,W,Pacific
1514,2013,Los Angeles Kings,LAK,W,Pacific
1574,2013,Phoenix Coyotes,ARI,W,Pacific
1634,2013,San Jose Sharks,SJS,W,Pacific
1694,2013,Columbus Blue Jackets,CBJ,W,Central
1754,2013,Minnesota Wild,MIN,W,Northwest
3074,2013,Winnipeg Jets,WPG,E,Southeast
14,2012,New Jersey Devils,NJD,E,Atlantic
74,2012,New York Islanders,NYI,E,Atlantic
134,2012,New York Rangers,NYR,E,Atlantic
194,2012,Philadelphia Flyers,PHI,E,Atlantic
254,2012,Pittsburgh Penguins,PIT,E,Atlantic
314,2012,Boston Bruins,BOS,E,Northeast
374,2012,Buffalo Sabres,BUF,E,Northeast
434,2012,Montréal Canadiens,MTL,E,Northeast
494,2012,Ottawa Senators,OTT,E,Northeast
554,2012,Toronto Maple Leafs,TOR,E,Northeast
674,2012,Carolina Hurricanes,CAR,E,Southeast
734,2012,Florida Panthers,FLA,E,Southeast
794,2012,Tampa Bay Lightning,TBL,E,Southeast
854,2012,Washington Capitals,WSH,E,Southeast
914,2012,Chicago Blackhawks,CHI,W,Central
974,2012,Detroit Red Wings,DET,W,Central
1034,2012,Nashville Predators,NSH,W,Central
1094,2012,St. Louis Blues,STL,W,Central
1154,2012,Calgary Flames,CGY,W,Northwest
1214,2012,Colorado Avalanche,COL,W,Northwest
1274,2012,Edmonton Oilers,EDM,W,Northwest
1334,2012,Vancouver Canucks,VAN,W,Northwest
1394,2012,Anaheim Ducks,ANA,W,Pacific
1454,2012,Dallas Stars,DAL,W,Pacific
1514,2012,Los Angeles Kings,LAK,W,Pacific
1574,2012,Phoenix Coyotes,ARI,W,Pacific
1634,2012,San Jose Sharks,SJS,W,Pacific
1694,2012,Columbus Blue Jackets,CBJ,W,Central
1754,2012,Minnesota Wild,MIN,W,Northwest
3074,2012,Winnipeg Jets,WPG,E,Southeast
